sample_id,batch
sample_1,lab_A
sample_2,lab_B
sample_3,lab_C
sample_4,lab_A
sample_5,lab_B
sample_6,lab_C
sample_7,lab_A
sample_8,lab_B
sample_9,lab_C
sample_10,lab_A
sample_11,lab_B
sample_12,lab_C
sample_13,lab_A
sample_14,lab_B
sample_15,lab_C
sample_16,lab_A
sample_17,lab_B
sample_18,lab_C
sample_19,lab_A
sample_20,lab_B
sample_21,lab_C
sample_22,lab_A
sample_23,lab_B
sample_24,lab_C
sample_25,lab_A
sample_26,lab_B
sample_27,lab_C
sample_28,lab_A
sample_29,lab_B
sample_30,lab_C
sample_31,lab_A
sample_32,lab_B
sample_33,lab_C
sample_34,lab_A
sample_35,lab_B
sample_36,lab_C
sample_37,lab_A
sample_38,lab_B
sample_39,lab_C
sample_40,lab_A
sample_41,lab_B
sample_42,lab_C
sample_43,lab_A
sample_44,lab_B
sample_45,lab_C
sample_46,lab_A
sample_47,lab_B
sample_48,lab_C
sample_49,lab_A
sample_50,lab_B
sample_51,lab_C
sample_52,lab_A
sample_53,lab_B
sample_54,lab_C
sample_55,lab_A
sample_56,lab_B
sample_57,lab_C
sample_58,lab_A
sample_59,lab_B
sample_60,lab_C
sample_61,lab_A
sample_62,lab_B
sample_63,lab_C
sample_64,lab_A
sample_65,lab_B
sample_66,lab_C
sample_67,lab_A
sample_68,lab_B
sample_69,lab_C
sample_70,lab_A
sample_71,lab_B
sample_72,lab_C
