trial_id,company,drug_class,trial_phase,country_code,aci,patient_count,base_fee_eur,date
1,BioPharm_Corp,Immunology,Phase_I,BR,D,195,100.94,2022-04-08
2,TriPharm_LLC,Rare_Disease,Phase_IV,BR,C,424,406.95,2024-04-28
3,TrialBridge_SA,Neurology,Phase_I,BR,D,434,65.14,2023-12-19
4,TriPharm_LLC,Neurology,Phase_II,BR,C,380,436.11,2023-04-27
5,PharmaScope_BV,Oncology,Phase_III,AU,A,386,429.57,2023-04-20
6,CurePath_AB,Immunology,Phase_IV,US,C,256,489.16,2024-07-30
7,MedResearch_Inc,Rare_Disease,Phase_III,CA,B,122,224.67,2022-04-05
8,PharmaScope_BV,Oncology,Phase_IV,NL,C,304,298.46,2024-02-04
9,MedResearch_Inc,Cardiology,Phase_II,JP,E,496,54.85,2022-08-09
10,TrialBridge_SA,Neurology,Phase_IV,CA,E,370,342.22,2022-04-14
11,ClinPath_AG,Neurology,Phase_II,IT,C,129,467.42,2023-08-01
12,TrialBridge_SA,Neurology,Phase_I,JP,D,153,115.92,2024-12-05
13,CurePath_AB,Oncology,Phase_IV,IT,C,482,256.68,2024-03-17
14,NovaTrial_Ltd,Neurology,Phase_III,AU,A,73,186.61,2024-04-14
15,BioAxis_Pty,Neurology,Phase_I,FR,D,110,75.0,2024-02-26
16,CurePath_AB,Oncology,Phase_II,AU,B,95,52.32,2024-05-11
17,BioPharm_Corp,Immunology,Phase_I,CA,E,317,102.91,2023-07-17
18,GlobalClin_KK,Rare_Disease,Phase_II,NL,C,199,216.1,2022-05-21
19,PharmaScope_BV,Oncology,Phase_III,FR,E,395,351.72,2024-07-09
20,GlobalClin_KK,Oncology,Phase_I,US,C,20,250.47,2023-05-09
21,ClinPath_AG,Neurology,Phase_IV,BR,C,358,101.2,2023-07-03
22,ClinPath_AG,Immunology,Phase_IV,IT,D,430,373.28,2023-02-11
23,ClinPath_AG,Oncology,Phase_III,NL,B,360,489.22,2022-07-20
24,NovaTrial_Ltd,Rare_Disease,Phase_II,BR,C,337,379.7,2024-10-12
25,PharmaScope_BV,Neurology,Phase_I,JP,C,456,432.5,2024-05-06
26,CurePath_AB,Oncology,Phase_IV,IT,C,191,229.51,2023-12-07
27,BioAxis_Pty,Neurology,Phase_II,IT,E,161,427.19,2023-03-18
28,NovaTrial_Ltd,Neurology,Phase_I,DE,A,182,411.39,2024-06-20
29,TrialBridge_SA,Cardiology,Phase_II,AU,E,147,186.66,2023-08-21
30,BioPharm_Corp,Neurology,Phase_IV,IT,B,219,268.17,2023-05-01
31,BioPharm_Corp,Cardiology,Phase_III,AU,D,23,321.94,2023-05-09
32,GlobalClin_KK,Rare_Disease,Phase_IV,NL,A,252,392.21,2022-09-07
33,MedResearch_Inc,Cardiology,Phase_III,DE,D,321,489.46,2022-04-11
34,BioAxis_Pty,Rare_Disease,Phase_II,DE,C,195,319.95,2023-08-31
35,NovaTrial_Ltd,Rare_Disease,Phase_III,JP,E,235,84.71,2024-08-31
36,NovaTrial_Ltd,Neurology,Phase_III,BR,B,492,360.77,2022-03-11
37,BioAxis_Pty,Oncology,Phase_IV,CA,B,200,124.4,2024-07-29
38,ClinPath_AG,Rare_Disease,Phase_II,JP,D,27,481.14,2024-06-26
39,BioPharm_Corp,Neurology,Phase_II,US,A,27,484.03,2022-10-31
40,BioAxis_Pty,Cardiology,Phase_I,FR,A,346,435.28,2023-11-24
41,BioAxis_Pty,Oncology,Phase_II,US,B,382,85.45,2022-07-01
42,TriPharm_LLC,Cardiology,Phase_III,ES,C,300,494.46,2024-04-10
43,TrialBridge_SA,Immunology,Phase_II,FR,D,224,215.47,2024-02-07
44,PharmaScope_BV,Neurology,Phase_III,NL,E,200,377.94,2023-01-24
45,GlobalClin_KK,Oncology,Phase_I,JP,D,39,239.09,2022-03-16
46,BioAxis_Pty,Immunology,Phase_III,AU,B,23,280.56,2024-11-29
47,GlobalClin_KK,Cardiology,Phase_IV,ES,A,282,140.36,2023-05-04
48,MedResearch_Inc,Oncology,Phase_IV,JP,B,369,455.06,2024-09-05
49,CurePath_AB,Immunology,Phase_II,BR,A,166,361.57,2024-01-13
50,BioAxis_Pty,Immunology,Phase_III,FR,D,24,308.73,2024-05-03
51,CurePath_AB,Rare_Disease,Phase_IV,ES,B,414,136.63,2024-04-12
52,TrialBridge_SA,Oncology,Phase_II,DE,E,362,234.61,2022-08-02
53,PharmaScope_BV,Cardiology,Phase_II,FR,E,121,228.73,2023-02-03
54,CurePath_AB,Cardiology,Phase_IV,AU,E,331,86.95,2023-05-27
55,GlobalClin_KK,Neurology,Phase_IV,AU,D,266,322.88,2023-06-30
56,BioAxis_Pty,Rare_Disease,Phase_IV,BR,D,148,310.15,2022-02-18
57,CurePath_AB,Oncology,Phase_IV,JP,E,325,305.95,2023-08-23
58,ClinPath_AG,Immunology,Phase_II,BR,B,98,253.2,2022-06-19
59,NovaTrial_Ltd,Neurology,Phase_II,CA,A,409,144.93,2024-03-25
60,NovaTrial_Ltd,Neurology,Phase_IV,FR,B,275,323.03,2024-01-19
61,TrialBridge_SA,Rare_Disease,Phase_II,IT,B,395,273.52,2024-10-08
62,CurePath_AB,Immunology,Phase_IV,ES,C,159,325.44,2024-03-27
63,TriPharm_LLC,Oncology,Phase_III,DE,D,186,159.19,2023-02-06
64,BioPharm_Corp,Neurology,Phase_III,FR,D,401,245.08,2024-11-26
65,BioPharm_Corp,Immunology,Phase_III,BR,C,397,420.22,2023-03-27
66,GlobalClin_KK,Oncology,Phase_IV,BR,A,124,330.23,2022-12-24
67,ClinPath_AG,Neurology,Phase_I,BR,C,61,61.73,2024-09-19
68,PharmaScope_BV,Neurology,Phase_I,IT,B,474,362.44,2023-02-11
69,BioPharm_Corp,Oncology,Phase_II,ES,B,239,402.34,2022-03-25
70,BioPharm_Corp,Rare_Disease,Phase_II,BR,B,56,150.02,2023-05-30
71,TrialBridge_SA,Cardiology,Phase_II,FR,C,279,299.43,2024-05-22
72,GlobalClin_KK,Cardiology,Phase_I,IT,C,130,459.22,2022-07-27
73,CurePath_AB,Oncology,Phase_III,CA,D,270,66.08,2023-05-23
74,PharmaScope_BV,Oncology,Phase_I,DE,A,249,404.24,2022-05-23
75,GlobalClin_KK,Oncology,Phase_III,NL,C,330,410.05,2024-01-23
76,CurePath_AB,Immunology,Phase_IV,ES,E,239,449.58,2023-06-06
77,PharmaScope_BV,Cardiology,Phase_IV,BR,A,89,478.1,2022-12-28
78,ClinPath_AG,Neurology,Phase_I,BR,E,445,168.99,2022-09-06
79,CurePath_AB,Immunology,Phase_I,NL,C,388,170.98,2023-09-11
80,BioPharm_Corp,Cardiology,Phase_II,AU,E,19,394.81,2024-01-05
81,ClinPath_AG,Neurology,Phase_III,JP,E,470,329.85,2024-10-27
82,NovaTrial_Ltd,Neurology,Phase_II,US,E,399,140.03,2023-04-25
83,GlobalClin_KK,Rare_Disease,Phase_I,NL,D,350,186.89,2022-06-26
84,ClinPath_AG,Rare_Disease,Phase_I,ES,A,83,345.75,2024-07-01
85,MedResearch_Inc,Cardiology,Phase_I,US,C,270,327.96,2023-11-22
86,GlobalClin_KK,Cardiology,Phase_IV,FR,E,119,424.28,2024-02-07
87,ClinPath_AG,Neurology,Phase_IV,IT,D,345,230.04,2022-04-17
88,MedResearch_Inc,Cardiology,Phase_IV,FR,B,43,335.58,2022-12-09
89,PharmaScope_BV,Neurology,Phase_III,DE,E,387,439.78,2024-04-21
90,NovaTrial_Ltd,Neurology,Phase_I,FR,A,333,380.36,2024-07-01
91,TriPharm_LLC,Neurology,Phase_III,CA,A,451,476.35,2023-04-22
92,TriPharm_LLC,Neurology,Phase_III,US,D,212,61.48,2024-06-01
93,BioAxis_Pty,Rare_Disease,Phase_III,AU,A,135,433.54,2024-07-11
94,NovaTrial_Ltd,Oncology,Phase_III,JP,D,136,284.6,2023-03-01
95,PharmaScope_BV,Immunology,Phase_I,DE,E,375,486.42,2024-09-11
96,MedResearch_Inc,Neurology,Phase_III,NL,B,421,431.54,2022-11-13
97,NovaTrial_Ltd,Immunology,Phase_IV,ES,D,361,165.66,2022-09-20
98,CurePath_AB,Neurology,Phase_II,BR,A,473,380.31,2024-01-19
99,PharmaScope_BV,Immunology,Phase_II,US,B,48,361.73,2023-11-29
100,GlobalClin_KK,Immunology,Phase_I,IT,A,268,455.55,2022-06-03
101,GlobalClin_KK,Immunology,Phase_III,BR,D,489,249.24,2024-07-01
102,MedResearch_Inc,Neurology,Phase_I,US,D,403,382.1,2022-08-08
103,MedResearch_Inc,Rare_Disease,Phase_III,CA,B,44,281.2,2024-06-01
104,TriPharm_LLC,Cardiology,Phase_III,US,C,47,215.15,2022-01-09
105,CurePath_AB,Immunology,Phase_II,IT,B,267,333.33,2024-05-23
106,TrialBridge_SA,Cardiology,Phase_II,CA,D,347,366.19,2024-05-12
107,TrialBridge_SA,Immunology,Phase_I,ES,E,395,445.63,2024-05-05
108,BioPharm_Corp,Rare_Disease,Phase_III,BR,B,235,231.2,2023-12-30
109,ClinPath_AG,Oncology,Phase_I,ES,D,420,188.78,2023-06-01
110,BioPharm_Corp,Immunology,Phase_III,AU,C,371,262.27,2024-02-12
111,CurePath_AB,Neurology,Phase_III,DE,A,293,346.96,2022-10-31
112,TriPharm_LLC,Cardiology,Phase_III,US,A,73,345.42,2024-05-05
113,NovaTrial_Ltd,Cardiology,Phase_IV,IT,B,110,495.53,2023-09-01
114,ClinPath_AG,Immunology,Phase_III,BR,C,461,71.86,2023-05-18
115,MedResearch_Inc,Rare_Disease,Phase_II,ES,A,479,228.35,2023-07-09
116,CurePath_AB,Cardiology,Phase_I,IT,D,442,263.03,2023-09-16
117,PharmaScope_BV,Cardiology,Phase_II,DE,C,114,84.21,2022-02-10
118,BioPharm_Corp,Rare_Disease,Phase_III,DE,E,195,108.95,2022-06-03
119,TrialBridge_SA,Immunology,Phase_II,US,A,403,386.02,2022-09-27
120,NovaTrial_Ltd,Immunology,Phase_II,FR,E,66,102.8,2022-05-06
121,GlobalClin_KK,Neurology,Phase_III,ES,C,172,285.68,2023-04-27
122,CurePath_AB,Oncology,Phase_I,BR,B,167,457.32,2024-01-03
123,BioPharm_Corp,Oncology,Phase_IV,NL,C,431,424.23,2023-12-19
124,TriPharm_LLC,Oncology,Phase_IV,BR,C,400,239.54,2023-06-01
125,GlobalClin_KK,Cardiology,Phase_I,IT,B,180,496.93,2024-07-26
126,BioPharm_Corp,Oncology,Phase_IV,BR,D,47,105.83,2023-09-12
127,ClinPath_AG,Neurology,Phase_III,ES,A,441,297.48,2022-03-28
128,NovaTrial_Ltd,Oncology,Phase_IV,CA,B,247,111.83,2024-04-18
129,CurePath_AB,Rare_Disease,Phase_IV,FR,E,169,168.53,2023-09-22
130,BioAxis_Pty,Neurology,Phase_II,JP,A,41,220.26,2023-11-27
131,MedResearch_Inc,Oncology,Phase_IV,ES,D,360,426.6,2023-09-12
132,TrialBridge_SA,Oncology,Phase_IV,AU,A,402,334.47,2023-08-30
133,MedResearch_Inc,Oncology,Phase_III,IT,C,415,214.8,2022-04-10
134,PharmaScope_BV,Immunology,Phase_II,IT,C,32,165.4,2023-09-05
135,GlobalClin_KK,Immunology,Phase_I,JP,D,369,465.62,2024-05-21
136,NovaTrial_Ltd,Neurology,Phase_II,US,E,334,405.34,2022-11-30
137,BioAxis_Pty,Immunology,Phase_II,US,B,104,234.66,2023-10-23
138,TriPharm_LLC,Oncology,Phase_II,AU,A,168,110.36,2022-02-03
139,TriPharm_LLC,Cardiology,Phase_IV,CA,A,177,455.71,2023-01-16
140,NovaTrial_Ltd,Oncology,Phase_III,DE,E,463,296.33,2023-04-24
141,PharmaScope_BV,Neurology,Phase_II,BR,E,388,314.54,2024-12-13
142,ClinPath_AG,Oncology,Phase_I,US,A,150,92.53,2022-08-24
143,GlobalClin_KK,Immunology,Phase_III,DE,C,185,461.07,2022-10-31
144,MedResearch_Inc,Neurology,Phase_I,ES,D,267,182.8,2023-03-24
145,MedResearch_Inc,Immunology,Phase_III,DE,A,167,131.75,2024-12-23
146,NovaTrial_Ltd,Neurology,Phase_II,US,C,300,225.76,2024-07-24
147,TrialBridge_SA,Oncology,Phase_III,JP,D,410,290.58,2022-02-08
148,TrialBridge_SA,Cardiology,Phase_II,BR,A,416,399.35,2022-09-14
149,TrialBridge_SA,Oncology,Phase_I,JP,E,23,68.64,2024-06-19
150,MedResearch_Inc,Oncology,Phase_II,CA,E,411,430.58,2022-03-05
151,BioAxis_Pty,Rare_Disease,Phase_III,AU,A,246,282.28,2024-07-26
152,GlobalClin_KK,Rare_Disease,Phase_III,IT,A,191,250.34,2022-11-05
153,NovaTrial_Ltd,Oncology,Phase_IV,ES,A,14,91.26,2024-10-02
154,MedResearch_Inc,Neurology,Phase_I,JP,B,29,158.07,2022-11-18
155,GlobalClin_KK,Cardiology,Phase_III,DE,C,183,274.32,2023-04-22
156,NovaTrial_Ltd,Neurology,Phase_III,US,A,378,454.35,2023-12-27
157,MedResearch_Inc,Immunology,Phase_I,FR,C,499,271.98,2022-05-19
158,CurePath_AB,Cardiology,Phase_II,FR,E,406,264.53,2023-09-03
159,PharmaScope_BV,Rare_Disease,Phase_I,AU,E,433,353.54,2023-07-08
160,TrialBridge_SA,Oncology,Phase_I,IT,D,343,251.74,2024-05-09
161,GlobalClin_KK,Neurology,Phase_II,US,D,127,473.7,2024-12-27
162,MedResearch_Inc,Immunology,Phase_I,FR,A,180,115.59,2023-12-30
163,CurePath_AB,Neurology,Phase_III,NL,A,32,335.24,2023-03-25
164,BioPharm_Corp,Immunology,Phase_I,IT,D,434,120.74,2023-03-22
165,PharmaScope_BV,Immunology,Phase_I,BR,B,223,426.77,2023-04-04
166,TrialBridge_SA,Oncology,Phase_IV,IT,E,500,90.1,2024-06-11
167,ClinPath_AG,Immunology,Phase_III,JP,D,207,204.23,2022-12-19
168,BioAxis_Pty,Cardiology,Phase_II,JP,C,186,138.41,2022-07-03
169,BioPharm_Corp,Oncology,Phase_IV,FR,C,368,435.34,2023-01-02
170,GlobalClin_KK,Neurology,Phase_IV,NL,B,351,56.24,2022-01-25
171,GlobalClin_KK,Immunology,Phase_I,US,E,159,138.56,2022-04-27
172,BioAxis_Pty,Cardiology,Phase_II,ES,C,347,497.92,2022-04-09
173,ClinPath_AG,Oncology,Phase_III,AU,B,414,193.86,2024-04-25
174,NovaTrial_Ltd,Rare_Disease,Phase_I,IT,D,128,329.13,2024-03-02
175,TrialBridge_SA,Rare_Disease,Phase_III,IT,D,136,442.06,2024-02-03
176,TriPharm_LLC,Neurology,Phase_I,FR,C,190,166.56,2023-05-22
177,BioAxis_Pty,Cardiology,Phase_IV,CA,B,355,160.68,2024-02-25
178,ClinPath_AG,Rare_Disease,Phase_II,CA,E,415,204.34,2022-06-26
179,PharmaScope_BV,Cardiology,Phase_III,IT,A,326,340.49,2024-09-14
180,ClinPath_AG,Cardiology,Phase_IV,JP,C,351,149.87,2023-07-04
181,BioAxis_Pty,Cardiology,Phase_III,BR,D,428,461.63,2024-10-25
182,TrialBridge_SA,Neurology,Phase_III,IT,D,443,226.55,2022-06-16
