bjd,rv_km/s,ðrv_km/s
2454069.963,-21.639,0.299
2454071.279,-29.81,0.299
2454072.016,-33.874,0.18
2454072.059,-34.238,0.259
2454075.59,-51.301,0.261
2454080.694,-63.513,0.133
2454083.682,-62.241,0.305
2454085.096,-59.241,0.371
2454085.278,-58.39,0.198
2454088.093,-48.563,0.187
2454091.376,-31.46,0.372
2454093.375,-19.192,0.138
2454093.483,-18.47,0.17
2454093.948,-15.846,0.368
2454094.702,-10.212,0.255
2454431.953,-35.918,0.245
2454433.239,-42.574,0.11
2454433.907,-46.075,0.389
2454434.313,-47.694,0.258
2454436.398,-56.021,0.099
2454440.524,-63.313,0.231
2454443.263,-61.988,0.207
2454446.9,-52.267,0.259
2454446.998,-51.627,0.164
2454447.88,-47.727,0.136
2454449.913,-37.629,0.348
2454450.512,-34.327,0.331
2454451.769,-26.954,0.171
2454453.084,-18.404,0.306
2454796.165,-56.531,0.137
2454797.831,-60.689,0.327
2454800.385,-63.652,0.155
2454800.568,-63.647,0.215
2454802.184,-62.907,0.392
2454805.126,-56.959,0.227
2454807.409,-47.808,0.247
2454809.745,-36.483,0.12
2454810.183,-34.035,0.191
2454813.729,-11.532,0.231
2454815.524,0.367,0.195
2454816.043,2.845,0.395
2455162.1,-62.915,0.371
2455163.357,-60.676,0.289
2455163.663,-60.157,0.353
2455165.525,-54.198,0.102
2455167.035,-48.125,0.324
2455168.832,-39.538,0.109
2455169.189,-37.471,0.224
2455169.656,-34.777,0.394
2455170.779,-28.632,0.29
2455172.507,-17.143,0.365
2455172.945,-14.617,0.235
2455175.416,2.368,0.282
2455175.562,3.057,0.184
2455190.684,66.729,0.206
